seat_number,seat_coordinates
1,"[356, 458, 146, 264]"
2,"[355, 475, 261, 345]"
3,"[389, 513, 364, 472]"
4,"[405, 561, 527, 692]"
5,"[399, 584, 737, 892]"
6,"[404, 607, 1001, 1201]"
7,"[429, 618, 1245, 1456]"
8,"[270, 346, 271, 347]"
9,"[270, 353, 401, 535]"
10,"[233, 334, 542, 673]"
11,"[235, 343, 685, 834]"
12,"[239, 349, 874, 1014]"
13,"[238, 355, 1065, 1223]"
14,"[219, 377, 1286, 1455]"
15,"[179, 239, 454, 560]"
16,"[161, 230, 566, 657]"
17,"[158, 222, 663, 785]"
18,"[143, 217, 814, 940]"
19,"[127, 214, 955, 1073]"
20,"[141, 228, 1109, 1243]"
21,"[138, 218, 1286, 1407]"
22,"[120, 161, 566, 655]"
23,"[108, 161, 655, 761]"
24,"[86, 141, 767, 863]"
25,"[81, 137, 874, 963]"
26,"[74, 141, 1015, 1113]"
27,"[69, 136, 1139, 1231]"
28,"[87, 138, 1267, 1373]"
