seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[289, 404, 197, 347]",snapshot_1,Present,01-08-2024 09:56
2,"[298, 405, 386, 525]",snapshot_1,Present,01-08-2024 09:56
3,"[270, 374, 599, 738]",snapshot_1,Present,01-08-2024 09:56
4,"[278, 384, 768, 951]",snapshot_1,Present,01-08-2024 09:56
5,"[253, 366, 978, 1106]",snapshot_1,Present,01-08-2024 09:57
6,"[255, 355, 1117, 1238]",snapshot_1,Present,01-08-2024 09:57
7,"[248, 351, 1278, 1378]",snapshot_1,Present,01-08-2024 09:57
8,"[255, 349, 1387, 1483]",snapshot_1,Present,01-08-2024 09:57
9,"[261, 339, 1489, 1589]",snapshot_1,Present,01-08-2024 09:57
10,"[269, 329, 1565, 1661]",snapshot_1,Present,01-08-2024 09:57
11,"[245, 302, 67, 149]",snapshot_1,Present,01-08-2024 09:57
12,"[223, 289, 168, 266]",snapshot_1,Absent,01-08-2024 09:57
13,"[210, 280, 293, 408]",snapshot_1,Present,01-08-2024 09:57
14,"[199, 266, 472, 587]",snapshot_1,Present,01-08-2024 09:57
15,"[182, 249, 601, 750]",snapshot_1,Present,01-08-2024 09:57
16,"[183, 252, 773, 894]",snapshot_1,Absent,01-08-2024 09:57
17,"[172, 246, 925, 1021]",snapshot_1,Absent,01-08-2024 09:58
18,"[175, 242, 1048, 1161]",snapshot_1,Present,01-08-2024 09:58
19,"[188, 240, 1211, 1321]",snapshot_1,Present,01-08-2024 09:58
20,"[183, 247, 1334, 1421]",snapshot_1,Present,01-08-2024 09:58
21,"[194, 246, 1430, 1517]",snapshot_1,Present,01-08-2024 09:58
22,"[163, 203, 258, 351]",snapshot_1,Present,01-08-2024 09:58
23,"[143, 205, 379, 483]",snapshot_1,Absent,01-08-2024 09:58
24,"[131, 193, 490, 577]",snapshot_1,Absent,01-08-2024 09:58
25,"[121, 181, 607, 702]",snapshot_1,Present,01-08-2024 09:58
26,"[129, 188, 726, 812]",snapshot_1,Absent,01-08-2024 09:58
27,"[123, 175, 825, 930]",snapshot_1,Present,01-08-2024 09:58
28,"[118, 178, 942, 1040]",snapshot_1,Present,01-08-2024 09:58
29,"[121, 168, 1069, 1147]",snapshot_1,Present,01-08-2024 09:58
30,"[115, 177, 1164, 1252]",snapshot_1,Absent,01-08-2024 09:58
31,"[114, 154, 340, 404]",snapshot_1,Absent,01-08-2024 09:58
32,"[105, 146, 424, 503]",snapshot_1,Present,01-08-2024 09:58
33,"[91, 138, 544, 633]",snapshot_1,Present,01-08-2024 09:58
34,"[84, 132, 668, 752]",snapshot_1,Present,01-08-2024 09:58
35,"[80, 132, 782, 853]",snapshot_1,Present,01-08-2024 09:59
36,"[83, 131, 901, 963]",snapshot_1,Present,01-08-2024 09:59
37,"[87, 130, 999, 1072]",snapshot_1,Present,01-08-2024 09:59
38,"[119, 167, 256, 330]",snapshot_1,Absent,01-08-2024 09:59
1,"[289, 404, 197, 347]",snapshot_2,Present,01-08-2024 10:08
2,"[298, 405, 386, 525]",snapshot_2,Present,01-08-2024 10:08
3,"[270, 374, 599, 738]",snapshot_2,Present,01-08-2024 10:08
4,"[278, 384, 768, 951]",snapshot_2,Present,01-08-2024 10:08
5,"[253, 366, 978, 1106]",snapshot_2,Present,01-08-2024 10:08
6,"[255, 355, 1117, 1238]",snapshot_2,Present,01-08-2024 10:08
7,"[248, 351, 1278, 1378]",snapshot_2,Present,01-08-2024 10:08
8,"[255, 349, 1387, 1483]",snapshot_2,Present,01-08-2024 10:08
9,"[261, 339, 1489, 1589]",snapshot_2,Present,01-08-2024 10:08
10,"[269, 329, 1565, 1661]",snapshot_2,Present,01-08-2024 10:08
11,"[245, 302, 67, 149]",snapshot_2,Present,01-08-2024 10:08
12,"[223, 289, 168, 266]",snapshot_2,Absent,01-08-2024 10:08
13,"[210, 280, 293, 408]",snapshot_2,Present,01-08-2024 10:08
14,"[199, 266, 472, 587]",snapshot_2,Present,01-08-2024 10:08
15,"[182, 249, 601, 750]",snapshot_2,Present,01-08-2024 10:08
16,"[183, 252, 773, 894]",snapshot_2,Present,01-08-2024 10:08
17,"[172, 246, 925, 1021]",snapshot_2,Absent,01-08-2024 10:08
18,"[175, 242, 1048, 1161]",snapshot_2,Present,01-08-2024 10:08
